040000011PA               000004000000000001000006000000000002R    PP000000000000000412 C       
093017072YA               000004254000000007000004280000000003R    YY000000000019429300ACB     A
093017121YA               000004254000000007000004280000000003R    YY000000000019436600ACC     A
093017122NA               000004261000000002000004270000000001R    NN000000000019436800ACC     A
093017134JA               000004254000000001000004271000000002R    JJ000000000019442100 C       
093017135ZA               000004261000000003000004271000000001R    ZZ000000000019442200 C       
093017135ZA               000004261000000003000004271000000002R    ZZ000000000019442300 C       
093017135XA               000004248000000018000004271000000001R    XX000000000019442400 C       
093017136BA               000004246000000008000004270000000002R    BB000000000019442560 C       
093017136BA               000004246000000008000004270000000003R    BB000000000019442660 C       
093017136YA               000004254000000006000004280000000003R    YY000000000019442700ACC     A
093017138YA               000004254000000006000004270000000004R    YY000000000019443060ACC     A
093017138JA               000004254000000001000004270000000001R    JJ000000000019443100 C       
093017138YA               000004254000000006000004270000000005R    YY000000000019443260ACC     A
093017138DA               000004127000000001000004283000000015RFLOWDD000000000019443301AC      A
093017181YA               000004254000000006000004270000000005R    YY000000000019452400ACB     A
093017182NA               000004261000000002000004270000000001R    NN000000000019452700ACB     A
093017222YA               000004254000000006000004270000000004R    YY000000000019457860ACB     A
093017222JA               000004254000000001000004271000000001R    JJ000000000019457900 C       
093017222BA               000004246000000008000004270000000002R    BB000000000019458000 C       
093017222ZA               000004261000000003000004271000000001R    ZZ000000000019458100 C       
093017223NA               000004261000000005000004270000000001R    NN000000000019458260ACB     A
093017945NA               000004261000000006000004270000000001R    NN000000000019511260ACB     A
093017949DA               000004248000000014000004283000000015RFLOWDD000000000019511301AC      A
093021863NA               000004261000000006000004270000000002R    NN000000000019871100ACB     A
093022373BA               000004246000000008000004270000000003R    BB000000000019916200 C       
093023653NA               000004261000000006000004270000000002R    NN000000000020063800ACB     A
093024331KA               000004243000000001000004270000000001R    KK000000000020167000 C       
093024331ZA               000004240000000002000004271000000001R    ZZ000000000020167100 C       
093024331PA               000004255000000003000004270000000001R    PP000000000020167200 C       
093024331PA               000004250000000001000004270000000001R    PP000000000020167300 C       
093024331TA               000004249000000002000004271000000006R    TT000000000020167400 C       
093024331BA               000004246000000001000004270000000003R    BB000000000020167500 C       
093024331BA               000004242000000007000004270000000003R    BB000000000020167700 C       
093024331YA               000004254000000003000004270000000004R    YY000000000020167800ACB     A
093024331YA               000004249000000001000004270000000004R    YY000000000020167900ACB     A
093024332JA               000004249000000003000004271000000001R    JJ000000000020168000 C       
093024332NA               000004256000000001000004270000000002R    NN000000000020168160ACB     A
093024333NA               000004256000000001000004270000000002R    NN000000000020168200ACC     A
093024333KA               000004242000000001000004270000000001R    KK000000000020168300 C       
093024337TA               000004249000000002000004269000000001R    TT000000000020168460 C       
093024337TA               000004249000000002000004269000000002R    TT000000000020168560 C       
093024337PA               000004256000000001000004270000000001R    PP000000000020168600 C       
093024337KA               000004241000000001000004270000000001R    KK000000000020168800 C       
093024337BA               000004256000000001000004270000000003R    BB000000000020168900 C       
093024337PA               000004256000000001000004277000000003R    PP000000000020169000 C       
093024338BA               000004256000000002000004270000000003R    BB000000000020169160 C       
093024338PA               000004256000000002000004277000000003R    PP000000000020169200 C       
093024338BA               000004256000000001000004270000000003R    BB000000000020169360 C       
093024338BA               000004250000000002000004270000000003R    BB000000000020169400 C       
093024338PA               000004256000000002000004269000000001R    PP000000000020169500 C       
093024338BA               000004242000000007000004270000000003R    BB000000000020169600 C       
093024338NA               000004256000000001000004270000000001R    NN000000000020169700ACC     A
093024338NA               000004256000000001000004269000000001R    NN000000000020169800ACC     A
093024338PA               000004256000000002000004269000000002R    PP000000000020169900 C       
093024338NA               000004256000000001000004269000000002R    NN000000000020170000ACC     A
093024339TA               000004249000000002000004269000000005R    TT000000000020170160 C       
093024339KA               000004241000000001000004287000000003R    KK000000000020170200 C       
093024340TA               000004249000000002000004269000000006R    TT000000000020170460 C       
093024340KA               000004241000000001000004269000000001R    KK000000000020170500 C       
093024373NA               000004256000000001000004268000000001R    NN000000000020172060ACC     A
093024374NA               000004256000000001000004268000000002R    NN000000000020172160ACC     A
093024374PA               000004256000000002000004269000000001R    PP000000000020172200 C       
093024374PA               000004256000000002000004268000000001R    PP000000000020172300 C       
093024375BA               000004242000000007000004268000000001R    BB000000000020172400 C       
093024375BA               000004242000000007000004268000000002R    BB000000000020172500 C       
093024376TA               000004249000000002000004268000000001R    TT000000000020172600 C       
093024377TA               000004249000000002000004268000000002R    TT000000000020172700 C       
093024377TA               000004249000000002000004268000000003R    TT000000000020172860 C       
093024377TA               000004249000000002000004268000000004R    TT000000000020172960 C       
093024432KA               000004240000000002000004269000000001R    KK000000000020177900 C       
093024461JA               000004249000000001000004271000000001R    JJ000000000020179700 C       
093024461PA               000004256000000001000004268000000001R    PP000000000020180060 C       
093024463MA               000000000000000000000004284000000007R    MM000000000020180500 C       
093024463DA               000004127000000001000004283000000015RFLOWDD000000000020180601AC      A
093024629YA               000004249000000001000004278000000006R    YY000000000020200900ACB     A
093024630BA               000004256000000001000004268000000002R    BB000000000020201000 C       
093024630BA               000004256000000002000004268000000002R    BB000000000020201160 C       
093024631JA               000004249000000001000004280000000003R    JJ000000000020201500 C       
093024631ZA               000004240000000002000004280000000002R    ZZ000000000020201600 C       
093024631XA               000004248000000018000004284000000018R    XX000000000020201700 C       
093024632TA               000004256000000001000004268000000004R    TT000000000020201800 C       
093024632TA               000004256000000002000004268000000004R    TT000000000020201900 C       
093024633YA               000004249000000004000004278000000006R    YY000000000020202100ACB     A
093024633YA               000004249000000007000004278000000006R    YY000000000020202300ACB     A
093024694JA               000004249000000001000004269000000001R    JJ000000000020207300 C       
093024694YA               000004249000000007000004269000000001R    YY000000000020207400ACB     A
093024694YA               000004249000000007000004269000000002R    YY000000000020207500ACB     A
093024694JA               000004249000000001000004269000000002R    JJ000000000020207600 C       
093024695YA               000004249000000007000004268000000006R    YY000000000020207760ACB     A
093024726NA               000004256000000003000004268000000002R    NN000000000020209460ACC     A
093024779KA               000004256000000001000004269000000001R    KK000000000020211500 C       
093024779PA               000004256000000003000004268000000001R    PP000000000020211600 C       
093024779ZA               000004256000000003000004280000000002R    ZZ000000000020211700 C       
093024779ZA               000004256000000004000004280000000002R    ZZ000000000020211860 C       
093024779TA               000004256000000003000004268000000004R    TT000000000020211900 C       
093024779TA               000004256000000002000004268000000004R    TT000000000020212000 C       
093024779BA               000004256000000001000004268000000002R    BB000000000020212100 C       
093025263XA               000000000000000000000004284000000018R    XX000000000020258700 C       
093025263MA               000004243000000006000004284000000007R    MM000000000020258800 C       
093025264DA               000004244000000013000004283000000015RFLOWDD000000000020259101AC      A
093025341KA               000004256000000001000004285000000001R    KK000000000020260800 C       
093025341ZA               000004256000000003000004280000000002R    ZZ000000000020261060 C       
093025344KA               000004256000000001000004268000000001R    KK000000000020261200 C       
093025654BA               000004242000000007000004268000000002R    BB000000000020268900 C       
093025656PA               000004256000000002000004268000000001R    PP000000000020269000 C       
093025780BA               000004256000000001000004268000000002R    BB000000000020271900 C       
093025780BA               000004256000000002000004268000000002R    BB000000000020272000 C       
093025781YA               000004256000000001000004268000000006R    YY000000000020272100ACB     A
093025781YA               000004256000000002000004268000000006R    YY000000000020272200ACB     A
093025781JA               000004256000000001000004269000000002R    JJ000000000020272300 C       
093026162XA               000004243000000014000004284000000018R    XX000000000020300900 C       
093026379YA               000004256000000001000004268000000006R    YY000000000020318300ACB     A
093026379JA               000004249000000001000004269000000002R    JJ000000000020318400 C       
093026379BA               000004256000000001000004268000000002R    BB000000000020318500 C       
093029255NA               000004256000000002000004268000000002R    NN000000000020494460ACC     A
093030268BA               000004242000000007000004268000000002R    BB000000000020712000 C       
093030268YA               000004249000000007000004268000000006R    YY000000000020712100ACB     A
093030269BA               000004256000000001000004268000000002R    BB000000000020712200 C       
093030269BA               000004256000000002000004268000000002R    BB000000000020712300 C       
093030269YA               000004256000000001000004268000000006R    YY000000000020712400ACB     A
093030269YA               000004256000000002000004268000000006R    YY000000000020712500ACB     A
093030269JA               000004256000000001000004269000000002R    JJ000000000020712600 C       
093030662JA               000004249000000001000004269000000002R    JJ000000000020793900 C       
093030662YA               000004256000000001000004268000000006R    YY000000000020794000ACB     A
093031093KA               000004241000000001000004268000000001R    KK000000000020841700 C       
093031093ZA               000004240000000002000004280000000002R    ZZ000000000020841860 C       
093031093PA               000004250000000004000004268000000001R    PP000000000020841900 C       
093031093PA               000004250000000001000004268000000001R    PP000000000020842000 C       
093031093BA               000004256000000001000004268000000002R    BB000000000020842100 C       
093031093TA               000004256000000001000004268000000004R    TT000000000020842260 C       
093031094PA               000004249000000001000004268000000001R    PP000000000020842400 C       
093031094KA               000004256000000001000004268000000001R    KK000000000020842600 C       
093031094ZA               000004256000000002000004280000000002R    ZZ000000000020842700 C       
093031094PA               000004256000000002000004268000000001R    PP000000000020842800 C       
093031094ZA               000004256000000003000004280000000002R    ZZ000000000020842960 C       
093031095BA               000004242000000007000004268000000002R    BB000000000020843000 C       
093031095YA               000004249000000007000004268000000006R    YY000000000020843100ACB     A
093031097BA               000004256000000001000004268000000002R    BB000000000020843300 C       
093031097BA               000004256000000002000004268000000002R    BB000000000020843400 C       
093031098YA               000004256000000001000004268000000006R    YY000000000020843500ACB     A
093031098JA               000004256000000001000004269000000002R    JJ000000000020843600 C       
093031098YA               000004256000000002000004268000000006R    YY000000000020843700ACB     A
093032112JA               000004249000000001000004269000000002R    JJ000000000020934500 C       
093032112YA               000004256000000001000004268000000006R    YY000000000020934600ACB     A
093032112ZA               000004256000000002000004280000000002R    ZZ000000000020934760 C       
093032113BA               000004256000000001000004268000000002R    BB000000000020934800 C       
093032944BA               000004242000000007000004268000000002R    BB000000000021007200 C       
093032944YA               000004249000000007000004268000000006R    YY000000000021007300ACB     A
093032945BA               000004256000000001000004268000000002R    BB000000000021007400 C       
093032945BA               000004256000000002000004268000000002R    BB000000000021007500 C       
093032945YA               000004256000000001000004268000000006R    YY000000000021007600ACB     A
093032945JA               000004256000000001000004269000000002R    JJ000000000021007700 C       
093032945YA               000004256000000002000004268000000006R    YY000000000021007800ACB     A
093033638NA               000004256000000003000004268000000002R    NN000000000021101760ACC     A
093033804BA               000004256000000002000004268000000003R    BB000000000021111700 C       
093033804JA               000004249000000001000004269000000002R    JJ000000000021111800 C       
093033804BA               000004256000000001000004268000000003R    BB000000000021111900 C       
093033804YA               000004256000000001000004268000000006R    YY000000000021112000ACB     A
093033862YA               000004256000000001000004269000000001R    YY000000000021125660ACB     A
093033865JA               000004249000000001000004269000000001R    JJ000000000021125700 C       
093033865YA               000004256000000001000004278000000006R    YY000000000021125800ACB     A
093037685BA               000004242000000007000004268000000003R    BB000000000021448600 C       
093037685YA               000004249000000007000004278000000006R    YY000000000021449000ACB     A
093038142BA               000004256000000001000004268000000003R    BB000000000021499800 C       
093038142YA               000004256000000001000004278000000006R    YY000000000021499900ACB     A
093038142BA               000004256000000002000004268000000003R    BB000000000021500000 C       
093038142YA               000004256000000002000004278000000006R    YY000000000021500100ACB     A
093038142JA               000004256000000001000004269000000001R    JJ000000000021500200 C       
093042429YA               000004256000000001000004278000000006R    YY000000000021957800ACB     A
093042429JA               000004249000000001000004269000000001R    JJ000000000021957900 C       
093042431NA               000004256000000003000004268000000002R    NN000000000021958000ACC     A
093042431TA               000004256000000002000004268000000004R    TT000000000021958100 C       
093042470JA               000004256000000003000004269000000001R    JJ000000000021959100 C       
093042499NA               000004256000000003000004268000000001R    NN000000000021965260ACC     A
093042499NA               000004256000000003000004269000000001R    NN000000000021965300ACC     A
093042519NA               000004256000000003000004268000000001R    NN000000000021965800ACC     A
093042523JA               000004249000000001000004269000000001R    JJ000000000021966260 C       
093042584NA               000004256000000004000004268000000001R    NN000000000021968060ACC     A
093042584KA               000004256000000002000004268000000001R    KK000000000021968100 C       
093049329NA               000004256000000003000004268000000001R    NN000000000022606360ACC     A
093049398NA               000004256000000005000004268000000001R    NN000000000022614360ACC     A
093054286NA               000004256000000005000004268000000002R    NN000000000022959400ACC     A
093059255PA               000004256000000002000004269000000001R    PP000000000023288100 C       
093059255BA               000004256000000002000004268000000002R    BB000000000023288200 C       
093059258YA               000004256000000001000004268000000001R    YY000000000023288400ACB     A
093059258JA               000004249000000001000004268000000001R    JJ000000000023288500 C       
093059259YA               000004256000000001000004268000000002R    YY000000000023288600ACB     A
093059259TA               000004256000000002000004268000000005R    TT000000000023288960 C       
093059406PA               000004256000000002000004268000000001R    PP000000000023300000 C       
093059406PA               000004256000000002000004268000000002R    PP000000000023300200 C       
093102515YA               000004256000000001000004268000000001R    YY000000000023828200ACB     A
093102515JA               000004249000000001000004269000000001R    JJ000000000023828300 C       
093104308PA               000004256000000002000004268000000003R    PP000000000024001800 C       
093105029NA               000004256000000003000004268000000002R    NN000000000024053960ACC     A
093105089NA               000004256000000006000004268000000002R    NN000000000024059860ACC     A
093106551ZA               000004256000000002000004269000000001R    ZZ000000000024189700 C       
093106551ZA               000004256000000002000004269000000002R    ZZ000000000024189800 C       
093106553JA               000004249000000001000004268000000004R    JJ000000000024189900 C       
093106555ZA               000004256000000002000004268000000002R    ZZ000000000024190000 C       
093106760BA               000004256000000001000004268000000002R    BB000000000024227900 C       
093106760YA               000004249000000007000004268000000001R    YY000000000024228000ACB     A
093106760BA               000004242000000007000004268000000002R    BB000000000024228100 C       
093108538BA               000004241000000007000004268000000002R    BB000000000024389000 C       
093108538XA               000000000000000000000004284000000018R    XX000000000024389100 C       
093108538XA               000000000000000000000000000000000000R    XX000000000024389200 C       
093108538MA               000000000000000000000004284000000007R    MM000000000024389300 C       
093108538MA               000000000000000000000000000000000000R    MM000000000024389400 C       
093108539DA               000004127000000001000004283000000015RFLOWDD000000000024389601AC      A
093108539DA               000004127000000001000004300000000012RFLOWDD000000000024389701AC      A
093111013BA               000004256000000001000004268000000002R    BB000000000024563600 C       
093111014BA               000004256000000002000004268000000002R    BB000000000024563700 C       
093111014YA               000004256000000001000004268000000001R    YY000000000024563800ACB     A
093111014JA               000004256000000001000004268000000004R    JJ000000000024563900 C       
093111014YA               000004256000000002000004268000000001R    YY000000000024564000ACB     A
093115233XA               000004243000000009000000000000000000R    XX000000000024887300 C       
093115233XA               000004243000000009000004281000000009R    XX000000000024887500 C       
093115233MA               000004243000000004000000000000000000R    MM000000000024887700 C       
093115234MA               000004243000000004000004281000000004R    MM000000000024887800 C       
093115235DA               000004244000000008000004300000000012RFLOWDD000000000024887901AC      A
093115235DA               000004244000000008000004280000000008RFLOWDD000000000024888001AC      A
093118074PA               000004256000000002000004268000000002R    PP000000000025097800 C       
093118075YA               000004256000000001000004268000000001R    YY000000000025097900ACB     A
093118075JA               000004249000000001000004268000000004R    JJ000000000025098100 C       
093118077TA               000004256000000002000004268000000004R    TT000000000025098360 C       
093118077NA               000004256000000006000004268000000002R    NN000000000025098400ACC     A
093118079BA               000004256000000001000004268000000002R    BB000000000025099200 C       
093118079BA               000004241000000007000004268000000002R    BB000000000025099300 C       
093118079YA               000004249000000007000004268000000001R    YY000000000025099400ACB     A
093118090PA               000004254000000002000004268000000002R    PP000000000025100500 C       
093118090KA               000004256000000001000004268000000001R    KK000000000025100600 C       
093118090ZA               000004240000000002000004268000000002R    ZZ000000000025100700 C       
093118090ZA               000004240000000002000004267000000001R    ZZ000000000025100860 C       
093118090ZA               000004240000000002000004267000000003R    ZZ000000000025100960 C       
093118090ZA               000004240000000002000004265000000001R    ZZ000000000025101060 C       
093118090TA               000004256000000001000004268000000004R    TT000000000025101100 C       
093118090PA               000004254000000002000004267000000001R    PP000000000025101200 C       
093118091TA               000004255000000001000004268000000004R    TT000000000025101300 C       
093118091TA               000004255000000001000004267000000001R    TT000000000025101400 C       
093118091PA               000004254000000002000004264000000001R    PP000000000025101560 C       
093118091KA               000004242000000001000004268000000001R    KK000000000025101600 C       
093118091TA               000004255000000001000004267000000002R    TT000000000025101700 C       
093118091NA               000004256000000001000004268000000002R    NN000000000025101860ACC     A
093118091TA               000004255000000001000004267000000003R    TT000000000025101900 C       
093118091TA               000004255000000001000004267000000004R    TT000000000025102000 C       
093118091TA               000004255000000001000004266000000001R    TT000000000025102100 C       
093118091KA               000004242000000001000004267000000001R    KK000000000025102200 C       
093118091PA               000004254000000002000004264000000002R    PP000000000025102360 C       
093118091NA               000004254000000001000004268000000002R    NN000000000025102460ACC     A
093118091KA               000004242000000001000004264000000001R    KK000000000025102500 C       
093118091TA               000004255000000001000004264000000001R    TT000000000025102600 C       
093118091ZA               000004240000000002000004262000000001R    ZZ000000000025102760 C       
093118091NA               000004254000000001000004268000000002R    NN000000000025102800ACB     A
093118091TA               000004255000000001000004263000000001R    TT000000000025102900 C       
093118091NA               000004252000000001000004268000000002R    NN000000000025103000ACB     A
093118091KA               000004241000000001000004264000000001R    KK000000000025103100 C       
093118091TA               000004255000000001000004261000000001R    TT000000000025103210 C       
093118092NA               000004252000000001000004268000000002R    NN000000000025103300 C       
093118092NA               000004252000000002000004268000000002R    NN000000000025103400 C       
093118092KA               000004240000000003000004264000000001R    KK000000000025103500 C       
093118092YA               000004249000000007000004268000000004R    YY000000000025103600ACB     A
093118092YA               000004249000000007000004268000000007R    YY000000000025103700ACB     A
093118092DA               000004244000000008000004262000000001RFLOWDD000000000025103801AC      A
093118092DA               000004244000000008000004280000000008RFLOWDD000000000025103901AC      A
093118093KA               000004240000000003000004262000000001R    KK000000000025104100 C       
093118093NA               000004252000000002000004266000000001R    NN000000000025104200 C       
093118093NA               000004252000000001000004266000000001R    NN000000000025104300 C       
093118093YA               000004249000000007000004268000000006R    YY000000000025104400ACB     A
093118093NA               000004252000000001000004266000000002R    NN000000000025104500 C       
093118093TA               000004251000000001000004261000000001R    TT000000000025104660 C       
093118093BA               000004240000000002000004268000000002R    BB000000000025104700 C       
093118093NA               000004250000000001000004266000000002R    NN000000000025104800 C       
093118095TA               000004251000000001000004261000000002R    TT000000000025104960 C       
093118095YA               000004249000000004000004268000000006R    YY000000000025105000ACB     A
093118095ZA               000004254000000001000004262000000001R    ZZ000000000025105100 C       
093118095NA               000004249000000002000004266000000002R    NN000000000025105200 C       
093118095ZA               000004254000000002000004262000000001R    ZZ000000000025105300 C       
093118095YA               000004249000000001000004268000000006R    YY000000000025105400ACB     A
093118095JA               000004244000000001000004268000000004R    JJ000000000025105500 C       
093118095YA               000004244000000007000004268000000006R    YY000000000025105600ACB     A
093118096YA               000004244000000010000004268000000006R    YY000000000025105700ACB     A
093118096NA               000004249000000002000004265000000001R    NN000000000025105800 C       
093118097NA               000004249000000002000004265000000002R    NN000000000025105900 C       
093118097NA               000004249000000002000004265000000001R    NN000000000025106100 C       
093118099NA               000004249000000002000004264000000001R    NN000000000025107100 C       
093118100TA               000004256000000001000004261000000002R    TT000000000025107210 C       
093118100TA               000004256000000002000004261000000002R    TT000000000025107310 C       
093118100TA               000004256000000001000004261000000002R    TT000000000025107410 C       
093118100NA               000004249000000002000004264000000002R    NN000000000025107500 C       
093118100BA               000004241000000007000004268000000002R    BB000000000025107600 C       
093118100TA               000004251000000001000004261000000002R    TT000000000025107760 C       
093118100YA               000004244000000007000004268000000006R    YY000000000025107800ACB     A
093118100KA               000004241000000001000004262000000001R    KK000000000025107900 C       
093118100BA               000004241000000008000004268000000002R    BB000000000025108000 C       
093118100BA               000004241000000001000004268000000002R    BB000000000025108100 C       
093118100BA               000004240000000002000004268000000002R    BB000000000025108200 C       
093118100YA               000004244000000004000004268000000006R    YY000000000025108300ACB     A
093118100YA               000004244000000007000004268000000006R    YY000000000025108400ACB     A
093118100YA               000004244000000010000004268000000006R    YY000000000025108500ACB     A
093118100KA               000004240000000003000004262000000001R    KK000000000025108600 C       
093118103NA               000004249000000002000004263000000001R    NN000000000025109300 C       
093118103NA               000004249000000002000004263000000002R    NN000000000025109400 C       
093118103NA               000004249000000002000004263000000001R    NN000000000025109500 C       
093118109NA               000004249000000002000004264000000001R    NN000000000025109800 C       
093118109NA               000004249000000002000004264000000002R    NN000000000025109900 C       
093118112NA               000004249000000002000004263000000001R    NN000000000025110000 C       
093118112NA               000004249000000002000004263000000002R    NN000000000025110100 C       
093118142ZA               000004254000000002000004267000000004R    ZZ000000000025115800 C       
093118180ZA               000004254000000002000004267000000003R    ZZ000000000025117200 C       
093118180ZA               000004254000000002000004267000000002R    ZZ000000000025117300 C       
093118181PA               000004254000000002000004264000000001R    PP000000000025117460 C       
093118181PA               000004254000000002000004267000000004R    PP000000000025117500 C       
093118181PA               000004254000000002000004267000000003R    PP000000000025117700 C       
093118181PA               000004254000000002000004267000000002R    PP000000000025117800 C       
093118182TA               000004251000000001000004261000000001R    TT000000000025118060 C       
093118182NA               000004250000000001000004263000000002R    NN000000000025118500 C       
093118182JA               000004240000000009000004268000000004R    JJ000000000025118600 C       
093118186NA               000004250000000001000004263000000003R    NN000000000025119600 C       
093118232KA               000004240000000002000004262000000001R    KK000000000025121400 C       
093118233NA               000004250000000001000004263000000003R    NN000000000025121500ACB     A
093118236PA               000004254000000002000004267000000001R    PP000000000025121600 C       
093118236PA               000004254000000002000004268000000002R    PP000000000025121800 C       
093118237ZA               000004254000000001000004267000000002R    ZZ000000000025122060 C       
093118478JA               000004240000000009000004269000000001R    JJ000000000025136300 C       
093118484NA               000004254000000003000004263000000003R    NN000000000025136460ACB     A
093118484NA               000004254000000004000004263000000003R    NN000000000025136560ACB     A
093118539NA               000004254000000003000004263000000003R    NN000000000025139060ACB     A
093118539JA               000004240000000009000004268000000001R    JJ000000000025139100 C       
093118541JA               000004240000000009000004267000000002R    JJ000000000025139200 C       
093118543YA               000004244000000010000004267000000002R    YY000000000025139300ACB     A
093118543YA               000004244000000010000004267000000003R    YY000000000025139400ACB     A
093118543JA               000004240000000009000004267000000003R    JJ000000000025139500 C       
093119081JA               000004242000000001000004267000000003R    JJ000000000025199800 C       
093119093KA               000004240000000002000004268000000001R    KK000000000025202900 C       
093119094KA               000004240000000002000004261000000001R    KK000000000025203000 C       
093119193DA               000004244000000008000004300000000012RFLOWDD000000000025213301AC      A
093119412MA               000004243000000004000000000000000000R    MM000000000025231800 C       
093119461PA               000004254000000002000004266000000001R    PP000000000025233500 C       
093119462PA               000004254000000002000004266000000002R    PP000000000025233600 C       
093120022DA               000004244000000008000004273000000008RFLOWDD000000000025277301AC      A
093121464JA               000004242000000001000004267000000001R    JJ000000000025459400 C       
093121464YA               000004244000000010000004267000000001R    YY000000000025459600ACB     A
093121464JA               000004242000000001000004268000000001R    JJ000000000025459700 C       
093121464YA               000004244000000010000004268000000006R    YY000000000025459800ACB     A
093121466JA               000004242000000001000004269000000001R    JJ000000000025459900 C       
093121520JA               000004242000000001000004264000000002R    JJ000000000025472100 C       
093121524NA               000004254000000003000004263000000005R    NN000000000025472600ACB     A
093121524BA               000004240000000002000004263000000002R    BB000000000025473100 C       
093121524BA               000004240000000002000004263000000003R    BB000000000025473200 C       
093121526YA               000004244000000010000004263000000001R    YY000000000025473900 C       
093121526YA               000004244000000010000004263000000002R    YY000000000025474000 C       
093121526JA               000004242000000001000004263000000001R    JJ000000000025474100 C       
093121526MA               000004243000000004000004274000000004R    MM000000000025474200 C       
093121603NA               000004251000000001000004263000000005R    NN000000000025479460ACB     A
093121604YA               000004244000000010000004263000000001R    YY000000000025479500 C       
093121604NA               000004250000000001000004263000000005R    NN000000000025479600ACB     A
093121604JA               000004242000000001000004264000000002R    JJ000000000025479700 C       
093121661NA               000004252000000003000004263000000005R    NN000000000025482600ACB     A
093121661NA               000004252000000004000004263000000005R    NN000000000025482700ACB     A
093123372XA               000004243000000009000000000000000000R    XX000000000025655100 C       
093124252XA               000004243000000009000004276000000009R    XX000000000025737100 C       
093126378NA               000004252000000003000004263000000005R    NN000000000025990000ACB     A
093126522NA               000004252000000003000004263000000003R    NN000000000026004500ACB     A
093126522BA               000004240000000002000004263000000001R    BB000000000026004600 C       
093126522BA               000004240000000002000004268000000001R    BB000000000026004700 C       
093126523YA               000004244000000010000004268000000006R    YY000000000026004800ACB     A
093126524JA               000004242000000001000004269000000001R    JJ000000000026004900 C       
093126567NA               000004250000000001000004263000000003R    NN000000000026008800ACB     A
093126582NA               000004250000000001000004262000000002R    NN000000000026011900ACB     A
093126582YA               000004244000000010000004262000000003R    YY000000000026012000 C       
093126582YA               000004244000000010000004262000000004R    YY000000000026012100 C       
093126582JA               000004242000000001000004262000000001R    JJ000000000026012200 C       
093126582NA               000004250000000001000004262000000003R    NN000000000026012400ACB     A
093126584NA               000004250000000001000004261000000004R    NN000000000026012860ACB     A
093126584YA               000004244000000010000004261000000002R    YY000000000026012900 C       
093126585NA               000004250000000001000004261000000005R    NN000000000026013060ACB     A
093126585NA               000004249000000002000004261000000005R    NN000000000026013100ACB     A
093126627NA               000004254000000003000004261000000005R    NN000000000026018310ACB     A
093126628NA               000004254000000004000004261000000005R    NN000000000026018410ACB     A
093126631NA               000004254000000004000004261000000006R    NN000000000026019110ACB     A
093127483TA               000004254000000001000004261000000001R    TT000000000026093000 C       
093127483TA               000004254000000002000004261000000001R    TT000000000026093100 C       
093127484XA               000004254000000001000004276000000009R    XX000000000026093200 C       
093128579NA               000004254000000005000004261000000006R    NN000000000026169110ACB     A
093128580NA               000004254000000004000004261000000006R    NN000000000026169210ACB     A
093128699BA               000004240000000002000004261000000001R    BB000000000026178000 C       
093128700BA               000004240000000002000004261000000002R    BB000000000026178100 C       
093139076TA               000004254000000001000004261000000001R    TT000000000027202400 C       
093139076NA               000004254000000004000004261000000007R    NN000000000027202810ACB     A
093139076BA               000004240000000002000004261000000001R    BB000000000027203000 C       
093139207NA               000004254000000002000004261000000007R    NN000000000027220460ACB     A
093139207PA               000004249000000003000004266000000002R    PP000000000027220560 C       
093139207NA               000004250000000001000004261000000007R    NN000000000027220660ACB     A
093139207ZA               000004240000000002000004267000000002R    ZZ000000000027220760 C       
093139207ZA               000004240000000002000004266000000001R    ZZ000000000027220800 C       
093139207TA               000004251000000001000004261000000001R    TT000000000027220900 C       
093139207ZA               000004240000000002000004266000000002R    ZZ000000000027221000 C       
093139207ZA               000004240000000002000004260000000002R    ZZ000000000027221160 C       
093139207TA               000004251000000001000004260000000001R    TT000000000027221200 C       
093139207TA               000004251000000001000004260000000002R    TT000000000027221300 C       
093139208NA               000004249000000002000004261000000007R    NN000000000027221400ACB     A
093139208XA               000004243000000009000004276000000009R    XX000000000027221560 C       
093139208TA               000004251000000001000004260000000003R    TT000000000027221610 C       
093139208TA               000004251000000001000004260000000004R    TT000000000027221710 C       
093139208XA               000004243000000009000004260000000001R    XX000000000027221800 C       
093139208TA               000004251000000001000004259000000001R    TT000000000027221910 C       
093139208NA               000004249000000002000004261000000007R    NN000000000027222000 C       
093139208TA               000004251000000001000004258000000001R    TT000000000027222110 C       
093139208PA               000004249000000003000004261000000001R    PP000000000027222200 C       
093139208PA               000004249000000003000004257000000001R    PP000000000027222360 C       
093139208NA               000004249000000002000004261000000007R    NN000000000027222400ACB     A
093139208PA               000004249000000002000004257000000001R    PP000000000027222500 C       
093139208PA               000004249000000001000004257000000001R    PP000000000027222600 C       
093139208PA               000004249000000001000004257000000002R    PP000000000027222760 C       
093139208NA               000004249000000002000004261000000007R    NN000000000027222800 C       
093139209PA               000004244000000001000004257000000002R    PP000000000027222900 C       
093139209ZA               000004240000000002000004257000000001R    ZZ000000000027223000 C       
093139209NA               000004249000000002000004261000000007R    NN000000000027223100ACB     A
093139209TA               000004251000000001000004257000000001R    TT000000000027223200 C       
093139209PA               000004240000000002000004257000000002R    PP000000000027223300 C       
093139209YA               000004244000000006000004261000000002R    YY000000000027223400 C       
093139209NA               000004249000000002000004261000000007R    NN000000000027223500 C       
093139209KA               000004240000000002000004274000000002R    KK000000000027223600 C       
093139209KA               000004240000000002000004274000000003R    KK000000000027223700 C       
